CODIGO DA TRANSACAO,DATA,TIPO,DESCRICAO,VALOR
e7bd450a-5c49-4c0a-8ab3-a20f6e05e236,01/04/2022,Vendas,Plano de Recebimento,"7,6"
63cfec40-758f-4d87-98b5-c1b092982666,01/04/2022,Vendas,Plano de Recebimento,"5,89"
3a86398c-7246-4812-aeab-97487fe762df,01/04/2022,Vendas,Plano de Recebimento,"0,98"
b9e77764-f6ee-4298-b0d1-8a720ed2d8bb,01/04/2022,Vendas,Plano de Recebimento,"2,83"
5aff5d34-6a10-4ac9-bf75-ee81f34683c1,01/04/2022,Vendas,Plano de Recebimento,"9,76"
90fb79a0-6c88-4ca4-89f1-6d121ca8db40,01/04/2022,Vendas,Plano de Recebimento,"7,13"
0c9c61cc-a6c4-477c-8c90-10375ef10a9c,01/04/2022,Vendas,Plano de Recebimento,"7,81"
0f54ec6f-5575-4c1d-ba10-6cc68a049158,01/04/2022,Vendas,Plano de Recebimento,"12,26"
afae23cf-f0bb-4549-9620-70a20e427b5c,01/04/2022,Vendas,Plano de Recebimento,"5,51"
d1bf867f-2809-473e-8de2-1078f00b45fd,01/04/2022,Vendas,Plano de Recebimento,"3,8"
fe4522ca-e10c-4236-b700-aa03b2015fa3,01/04/2022,Vendas,Plano de Recebimento,"19,62"
fb02dd9c-3b5b-4717-914f-915f36e9472a,01/04/2022,Vendas,Plano de Recebimento,"3,8"
f3c61bfa-a281-4845-8da3-b78805737d43,01/04/2022,Vendas,Plano de Recebimento,"2,93"
fec8249b-2562-42a9-a825-63dedf7e1dca,01/04/2022,Vendas,Plano de Recebimento,"9,5"
f237e76b-e0a2-468b-8fd8-11fee475e6d7,01/04/2022,Vendas,Plano de Recebimento,"17,57"
a5bd5a4d-3977-4c81-9254-4b185b64bcc9,01/04/2022,Vendas,Plano de Recebimento,"1,05"
aada175b-9ad3-41f6-9098-7eaaad96bbc8,01/04/2022,Pix Recebido,Recebimento de transferência Pix,4
66a885b8-c5ba-4a79-8d20-5be39ee1b4c1,01/04/2022,Vendas,Plano de Recebimento,"9,76"
aff6e23a-382a-4440-831e-78ed54883ae5,01/04/2022,Vendas,Plano de Recebimento,"2,85"
